Source,Target,Weight,Season
ARYA,JAQEN,148,5
JORAH,TYRION,141,5
BRONN,JAIME,121,5
TYRION,VARYS,110,5
DAENERYS,TYRION,98,5
CERSEI,HIGH_SPARROW,96,5
BRIENNE,PODRICK,90,5
JON,STANNIS,90,5
LITTLEFINGER,SANSA,89,5
JON,SAM,85,5
GILLY,SAM,83,5
DAARIO,DAENERYS,81,5
MARGAERY,TOMMEN,79,5
SANSA,THEON,77,5
DAENERYS,HIZDAHR,69,5
DAVOS,STANNIS,68,5
JON,TORMUND,63,5
CERSEI,TOMMEN,62,5
JAIME,MYRCELLA,58,5
MYRANDA,SANSA,58,5
RAMSAY,THEON,58,5
MELISANDRE,STANNIS,52,5
RAMSAY,ROOSE_BOLTON,51,5
RAMSAY,SANSA,51,5
CERSEI,LITTLEFINGER,50,5
ARYA,WAIF,48,5
SHIREEN,STANNIS,47,5
CERSEI,MARGAERY,46,5
CERSEI,QYBURN,41,5
JON,OLLY,41,5
CERSEI,JAIME,40,5
DAENERYS,JORAH,40,5
JON,MELISANDRE,39,5
BARRISTAN,DAENERYS,38,5
DAVOS,JON,35,5
DAVOS,SHIREEN,35,5
BRONN,TYENE,34,5
DORAN,ELLARIA,33,5
JON,MANCE,33,5
ALLISER_THORNE,JON,32,5
JAQEN,WAIF,32,5
HIGH_SPARROW,OLENNA,30,5
LORAS,MARGAERY,30,5
OLLY,SAM,30,5
GREY_WORM,MISSANDEI,29,5
CERSEI,MACE,28,5
DAENERYS,MOSSADOR,28,5
JON,KARSI,28,5
MYRANDA,RAMSAY,28,5
AREO,DORAN,27,5
BRIENNE,LITTLEFINGER,27,5
DAARIO,TYRION,27,5
CERSEI,OLENNA,26,5
DAARIO,HIZDAHR,24,5
DORAN,JAIME,24,5
MYRCELLA,TRYSTANE,24,5
SAM,STANNIS,24,5
DAENERYS,MISSANDEI,22,5
LITTLEFINGER,ROOSE_BOLTON,22,5
CERSEI,KEVAN,21,5
HIGH_SPARROW,LORAS,21,5
CERSEI,MAGGY,20,5
DAARIO,GREY_WORM,20,5
JANOS,JON,20,5
SELYSE,SHIREEN,20,5
AREO,BRONN,19,5
BANKER,MACE,19,5
ELLARIA,JAIME,19,5
KARSI,TORMUND,19,5
AREO,JAIME,18,5
CERSEI,LANCEL,18,5
CERSEI,PYCELLE,18,5
GILLY,SHIREEN,18,5
JON,MAESTER_AEMON,18,5
SELYSE,STANNIS,18,5
BLACK_HAIRED_PROSTITUTE,TYRION,17,5
DAARIO,JORAH,17,5
HIGH_SPARROW,MARGAERY,17,5
MAESTER_AEMON,SAM,17,5
MALKO,TYRION,17,5
DAARIO,MISSANDEI,16,5
JAIME,TRYSTANE,16,5
JON,LOBODA,16,5
LITTLEFINGER,OLENNA,16,5
MISSANDEI,TYRION,16,5
ROOSE_BOLTON,SANSA,16,5
AREO,ELLARIA,15,5
AREO,MYRCELLA,15,5
BRIENNE,SANSA,15,5
CERSEI,LORAS,15,5
LORAS,OLYVAR,15,5
ALLISER_THORNE,SAM,14,5
BRONN,LOLLYS,14,5
CERSEI,SEPTA_UNELLA,14,5
DAENERYS,GREY_WORM,14,5
LANCEL,LITTLEFINGER,14,5
