Source,Target,Weight,Season
JON,YGRITTE,159,3
BRIENNE,JAIME,127,3
TYRION,TYWIN,115,3
RAMSAY,THEON,114,3
CERSEI,TYRION,95,3
GILLY,SAM,95,3
ROBB,TALISA,89,3
SANSA,TYRION,85,3
ARYA,HOUND,79,3
DAVOS,STANNIS,77,3
SHAE,TYRION,75,3
BRONN,TYRION,71,3
DAENERYS,JORAH,69,3
BRAN,OSHA,68,3
DAENERYS,MISSANDEI,67,3
BRAN,JOJEN,65,3
JOFFREY,MARGAERY,64,3
ARYA,THOROS,63,3
MARGAERY,SANSA,63,3
JAIME,LOCKE,59,3
BARRISTAN,JORAH,57,3
CERSEI,TYWIN,57,3
CERSEI,JOFFREY,54,3
CATELYN,ROBB,52,3
KRAZNYS_MO_NAKLOZ,MISSANDEI,52,3
JAIME,QYBURN,51,3
DAVOS,GENDRY,50,3
JOFFREY,TYWIN,49,3
MELISANDRE,STANNIS,49,3
EDMURE,ROBB,46,3
GENDRY,MELISANDRE,46,3
ARYA,GENDRY,45,3
SANSA,SHAE,45,3
BRAN,HODOR,39,3
DAVOS,SHIREEN,38,3
OLENNA,VARYS,38,3
RICKARD_KARSTARK,ROBB,38,3
BARRISTAN,DAENERYS,37,3
JON,ORELL,37,3
DAARIO,DAENERYS,36,3
JON,MANCE,36,3
LITTLEFINGER,SANSA,36,3
PODRICK,TYRION,36,3
OLENNA,TYWIN,35,3
JON,TORMUND,34,3
MEERA,OSHA,34,3
ARYA,BERIC,33,3
CATELYN,TALISA,33,3
CERSEI,MARGAERY,33,3
DAVOS,MELISANDRE,33,3
ORELL,YGRITTE,32,3
LORAS,SANSA,31,3
OLENNA,TYRION,31,3
OLENNA,SANSA,30,3
ORELL,TORMUND,30,3
BRAN,MEERA,29,3
JAIME,ROOSE_BOLTON,29,3
TORMUND,YGRITTE,29,3
BERIC,THOROS,28,3
DAVOS,SALLADHOR,28,3
JOJEN,OSHA,28,3
LITTLEFINGER,TYRION,28,3
