Source,Target,Weight,Season
ARYA,HOUND,162,4
JAIME,TYRION,147,4
CERSEI,JAIME,131,4
DAENERYS,JORAH,106,4
CERSEI,TYWIN,104,4
LITTLEFINGER,SANSA,96,4
TYRION,TYWIN,94,4
JON,SAM,89,4
LYSA,SANSA,88,4
BRONN,TYRION,86,4
JAIME,TYWIN,83,4
PODRICK,TYRION,80,4
GILLY,SAM,79,4
OBERYN,TYWIN,79,4
BRIENNE,PODRICK,78,4
OBERYN,TYRION,78,4
SHAE,TYRION,78,4
ALLISER_THORNE,JON,68,4
JOFFREY,TYRION,64,4
DAENERYS,MISSANDEI,63,4
RAMSAY,THEON,63,4
CERSEI,OBERYN,57,4
LITTLEFINGER,LYSA,55,4
DAARIO,DAENERYS,54,4
GRENN,JON,52,4
DAVOS,STANNIS,51,4
GREY_WORM,MISSANDEI,50,4
JON,MANCE,50,4
ELLARIA,OBERYN,48,4
BRAN,MEERA,47,4
MARGAERY,OLENNA,46,4
SANSA,TYRION,46,4
ROBIN,SANSA,45,4
BRAN,HODOR,44,4
JOJEN,MEERA,44,4
CERSEI,JOFFREY,43,4
CERSEI,TYRION,43,4
TOMMEN,TYWIN,43,4
BRAN,JOJEN,42,4
EDDISON_TOLLETT,JON,41,4
BRIENNE,JAIME,40,4
JANOS,JON,39,4
RAMSAY,ROOSE_BOLTON,39,4
CERSEI,MARGAERY,38,4
ARYA,BRIENNE,36,4
JOFFREY,MARGAERY,36,4
MELISANDRE,SELYSE,36,4
JON,TORMUND,35,4
BARRISTAN,JORAH,34,4
OBERYN,VARYS,34,4
PYP,SAM,34,4
BARRISTAN,DAENERYS,32,4
STYR,YGRITTE,32,4
EDDISON_TOLLETT,GRENN,31,4
JAIME,JOFFREY,31,4
DONTOS,SANSA,30,4
JOFFREY,TYWIN,30,4
LITTLEFINGER,YOHN_ROYCE,30,4
BRONN,JAIME,29,4
HOUND,POLLIVER,29,4
MARGAERY,TOMMEN,29,4
TORMUND,YGRITTE,29,4
CERSEI,PYCELLE,28,4
DAVOS,SHIREEN,27,4
TYRION,VARYS,27,4
ALLISER_THORNE,JANOS,26,4
DAENERYS,GREY_WORM,26,4
MAESTER_AEMON,SAM,26,4
CERSEI,TOMMEN,25,4
JOFFREY,SANSA,25,4
DAENERYS,HIZDAHR,24,4
GILLY,MOLES_TOWN_WHORE,24,4
MELISANDRE,SHIREEN,24,4
BRIENNE,HOT_PIE,23,4
BRIENNE,HOUND,22,4
ANYA_WAYNWOOD,LITTLEFINGER,21,4
HODOR,JOJEN,21,4
JON,LOCKE,21,4
LITTLEFINGER,ROBIN,21,4
MACE,TYWIN,21,4
OBERYN,OLYVAR,21,4
SELYSE,STANNIS,21,4
FARMER_HAMLET,HOUND,20,4
GILLY,LITTLE_SAM,20,4
HODOR,MEERA,20,4
STYR,TORMUND,20,4
THEON,YARA,20,4
ARYA,POLLIVER,19,4
CERSEI,QYBURN,18,4
DAVOS,TYCHO,18,4
ELLARIA,OLYVAR,18,4
MORGAN,OBERYN,18,4
MOUNTAIN,OBERYN,18,4
RALF,THEON,18,4
SHAE,TYWIN,18,4
TYWIN,VARYS,18,4
ARYA,TERNESIO_TERYS,17,4
JON,YGRITTE,17,4
KARL_TANNER,MEERA,17,4
LITTLE_SAM,SAM,17,4
LYSA,ROBIN,17,4
MYRANDA,RAMSAY,17,4
SANSA,SHAE,17,4
STANNIS,TYCHO,17,4
CERSEI,VARYS,16,4
GRENN,SAM,16,4
PYCELLE,TYWIN,16,4
DAENERYS,FENNESZ,15,4
RAMSAY,TANSY,15,4
SANSA,YOHN_ROYCE,15,4
BRAN,JON,14,4
BRIENNE,CERSEI,14,4
DAARIO,GREY_WORM,14,4
DAVOS,SALLADHOR,14,4
ELIA,OBERYN,14,4
GRENN,LOCKE,14,4
JAIME,LORAS,14,4
JOJEN,KARL_TANNER,14,4
JON,OLLY,14,4
MACE,OBERYN,14,4
MACE,TYRION,14,4
OLENNA,TYWIN,14,4
ROOSE_BOLTON,THEON,14,4
ALLISER_THORNE,GRENN,13,4
ARYA,FARMER_HAMLET,13,4
BARRISTAN,MISSANDEI,13,4
BRAN,LOCKE,13,4
CERSEI,MACE,13,4
CERSEI,MOUNTAIN,13,4
GRENN,JANOS,13,4
JAIME,PODRICK,13,4
JAIME,TOMMEN,13,4
JOFFREY,TOMMEN,13,4
KARL_TANNER,RAST,13,4
BRIENNE,MARGAERY,12,4
DYING_MAN,HOUND,12,4
JAIME,OBERYN,12,4
JON,STANNIS,12,4
MANCE,STANNIS,12,4
PYCELLE,QYBURN,12,4
TOMMEN,TYRION,12,4
ALLISER_THORNE,MAESTER_AEMON,11,4
ANYA_WAYNWOOD,SANSA,11,4
BARRISTAN,GREY_WORM,11,4
CATELYN,LYSA,11,4
DONTOS,LITTLEFINGER,11,4
ELLARIA,TYRION,11,4
FARMER_HAMLET,SALLY,11,4
JAIME,MARGAERY,11,4
JON,KARL_TANNER,11,4
JORAH,MISSANDEI,11,4
ANYA_WAYNWOOD,YOHN_ROYCE,10,4
ARYA,DYING_MAN,10,4
DAARIO,JORAH,10,4
KARL_TANNER,SISSY,10,4
MORGAN,MORGANS_FRIEND,10,4
OLLY,STYR,10,4
ALLISER_THORNE,SAM,9,4
BRAN,THREE_EYED_RAVEN,9,4
BRONN,PODRICK,9,4
CERSEI,SANSA,9,4
CRASTER,JON,9,4
DAARIO,MISSANDEI,9,4
ELLARIA,MAREI,9,4
ELLARIA,TYWIN,9,4
GREY_WORM,JORAH,9,4
JAIME,SANSA,9,4
JANOS,SAM,9,4
JOFFREY,MACE,9,4
JOFFREY,OLENNA,9,4
JON,MAESTER_AEMON,9,4
ALLISER_THORNE,PYP,8,4
BALON_DWARF,ROBB_DWARF,8,4
BRONN,OBERYN,8,4
DONNEL_HILL,GRENN,8,4
EDDISON_TOLLETT,JANOS,8,4
EDDISON_TOLLETT,SAM,8,4
ELLARIA,MORGAN,8,4
JAIME,MACE,8,4
JOFFREY,OBERYN,8,4
JON,MORAG,8,4
LORAS,MARGAERY,8,4
MACE,VARYS,8,4
MARGAERY,TYRION,8,4
MORGANS_FRIEND,OBERYN,8,4
PYCELLE,VARYS,8,4
SANSA,TYWIN,8,4
ALLISER_THORNE,LOCKE,7,4
BARRISTAN,DAARIO,7,4
BOLTON_GUARD,YARA,7,4
BRAN,KARL_TANNER,7,4
BRAN,LEAF,7,4
CERSEI,ELLARIA,7,4
CERSEI,LORAS,7,4
CERSEI,SHAE,7,4
CRASTER,EDDISON_TOLLETT,7,4
DAENERYS,MEEREEN_CHAMPION,7,4
DAVOS,JON,7,4
DONGO_THE_GIANT,MAG_THE_MIGHTY,7,4
DORNISH_LORD,TYRION,7,4
EDDISON_TOLLETT,PYP,7,4
ENDREW,JAIME,7,4
GILLY,PYP,7,4
GRENN,MAG_THE_MIGHTY,7,4
GUYMON,OLLY,7,4
HIZDAHR,HIZDAHRS_FATHER,7,4
HODOR,LOCKE,7,4
JOFFREY,LITTLEFINGER,7,4
JOFFREY,SHAE,7,4
JON,PYP,7,4
JON,SISSY,7,4
LORAS,TOMMEN,7,4
MACE,MARGAERY,7,4
MACE,TOMMEN,7,4
MAREI,OBERYN,7,4
MELISANDRE,STANNIS,7,4
MOLES_TOWN_MADAM,SAM,7,4
NED,SANSA,7,4
OBERYN,PYCELLE,7,4
OBERYN,SHAE,7,4
OLLY,SAM,7,4
OLLY,YGRITTE,7,4
RAMSAY,YARA,7,4
RENLY_DWARF,STANNIS_DWARF,7,4
SHIREEN,STANNIS,7,4
ALLISER_THORNE,OTHELL_YARWYCK,6,4
ARYA,SALLY,6,4
BALON,THEON,6,4
BRIENNE,CATELYN,6,4
BRIENNE,JOFFREY,6,4
BRIENNE,SANSA,6,4
CATELYN,SANSA,6,4
CERSEI,DONTOS,6,4
CERSEI,MYRCELLA,6,4
DAVOS,MANCE,6,4
DAVOS,SELYSE,6,4
DONTOS,JOFFREY,6,4
ELDER_MEEREEN_SLAVE,MOSSADOR,6,4
FIRST_MATE,YARA,6,4
GOATHERD,MISSANDEI,6,4
GRENN,OLLY,6,4
GRENN,PYP,6,4
HOUND,JOFFREY,6,4
HOUND,LYSA,6,4
HOUND,RORGE,6,4
HOUND,SALLY,6,4
JAIME,VARYS,6,4
JOFFREY_DWARF,ROBB_DWARF,6,4
JON,STYR,6,4
JON_ARRYN,LYSA,6,4
LORAS,TYWIN,6,4
MAREI,OLYVAR,6,4
MARGAERY,SANSA,6,4
MARGAERY,TYWIN,6,4
MEERA,THREE_EYED_RAVEN,6,4
MERYN_TRANT,TYRION,6,4
MORGAN,OLYVAR,6,4
MOUNTAIN,PYCELLE,6,4
MOUNTAIN,QYBURN,6,4
MOUNTAIN,TYWIN,6,4
MYRANDA,TANSY,6,4
OBERYN,TOMMEN,6,4
ORSON,TYRION,6,4
PYCELLE,TYRION,6,4
SAM,TORMUND,6,4
TANSY,THEON,6,4
ALLISER_THORNE,EDDISON_TOLLETT,5,4
ALLISER_THORNE,TORMUND,5,4
BRIENNE,OLENNA,5,4
BRIENNE,TYRION,5,4
CATELYN,LITTLEFINGER,5,4
CRASTER,KARL_TANNER,5,4
CRASTER,RAST,5,4
DAENERYS,GOATHERD,5,4
DAVOS,MELISANDRE,5,4
DONTOS,TYRION,5,4
EDDISON_TOLLETT,LOCKE,5,4
EDDISON_TOLLETT,MORAG,5,4
ENDREW,JOFFREY,5,4
FENNESZ,MASTER_MIGHDAL,5,4
FIRST_MATE,THEON,5,4
GRENN,MORAG,5,4
HIGH_SEPTON,JOFFREY,5,4
HIGH_SEPTON,TOMMEN,5,4
HIZDAHR,MANSERVANT,5,4
HOT_PIE,PODRICK,5,4
HOUND,PODRICK,5,4
JAIME,QYBURN,5,4
JAIME,SHAE,5,4
JANOS,OLLY,5,4
JOFFREY,PODRICK,5,4
JOFFREY,POLLIVER,5,4
JOFFREY,PYCELLE,5,4
JON,NED,5,4
LHARA,SALLADHOR,5,4
LUTHOR,OLENNA,5,4
LYSA,TYRION,5,4
MACE,PYCELLE,5,4
MACE,SANSA,5,4
MACE,SHAE,5,4
MARGAERY,OBERYN,5,4
MOUNTAIN,TYRION,5,4
OBERYN,PODRICK,5,4
OLENNA,TYRION,5,4
RAMSAY,WALDA,5,4
ROOSE_BOLTON,WALDA,5,4
SELYSE,SHIREEN,5,4
ADRACK_HUMBLE,THEON,4,4
AERYS,JAIME,4,4
AERYS,ROBERT,4,4
ARYA,RORGE,4,4
AXELL_FLORENT,MELISANDRE,4,4
AXELL_FLORENT,SELYSE,4,4
BALON_DWARF,JOFFREY_DWARF,4,4
BALON_DWARF,STANNIS_DWARF,4,4
BLACK_JACK,KEGS,4,4
BLACK_JACK,MULLY,4,4
BRAN,CRASTER,4,4
BRAN,RAST,4,4
BRONN,MORGAN,4,4
CATELYN,CERSEI,4,4
CATELYN,NED,4,4
CATELYN,ROBB,4,4
COOPER,GRENN,4,4
CRASTER,GRENN,4,4
CRASTER,LOCKE,4,4
CRASTER,MORAG,4,4
CRASTER,SISSY,4,4
CRASTERS_BABY,RAST,4,4
CRASTERS_BABY,SISSY,4,4
DAARIO,MEEREEN_CHAMPION,4,4
DAENERYS,HIZDAHRS_FATHER,4,4
EDDISON_TOLLETT,SISSY,4,4
ELDER_MEEREEN_SLAVE,GREY_WORM,4,4
ELDER_MEEREEN_SLAVE,MEEREEN_SLAVE,4,4
ELIA,MOUNTAIN,4,4
ELIA,TYWIN,4,4
ELLARIA,JAIME,4,4
ELLARIA,MOUNTAIN,4,4
ELLARIA,PODRICK,4,4
GILLY,JANOS,4,4
GILLY,STYR,4,4
GILLY,YGRITTE,4,4
GRENN,SISSY,4,4
HIGH_SEPTON,JAIME,4,4
HIGH_SEPTON,MARGAERY,4,4
JANOS,MAESTER_AEMON,4,4
JOFFREY,JOFFREY_DWARF,4,4
JOFFREY,NED,4,4
JON,MAG_THE_MIGHTY,4,4
JON_ARRYN,LITTLEFINGER,4,4
KEGS,MULLY,4,4
LEAF,MEERA,4,4
LITTLE_SAM,MOLES_TOWN_WHORE,4,4
LITTLEFINGER,NED,4,4
LOCKE,RAMSAY,4,4
LORAS,OBERYN,4,4
LYSA,NED,4,4
LYSA,YOHN_ROYCE,4,4
MANCE,TORMUND,4,4
MERYN_TRANT,ROOSE_BOLTON,4,4
MERYN_TRANT,TYWIN,4,4
MORAG,SISSY,4,4
MORGAN,TYRION,4,4
MYRANDA,THEON,4,4
MYRANDA,YARA,4,4
OBERYN,SANSA,4,4
OLLY,OLLYS_MOTHER,4,4
PODRICK,SANSA,4,4
PYCELLE,TOMMEN,4,4
SAM,STYR,4,4
SAM,YGRITTE,4,4
SANSA,TOMMEN,4,4
STYR,THENN_WARG,4,4
AERYS,TYRION,3,4
ALLISER_THORNE,OLLY,3,4
ALLISER_THORNE,QHORIN,3,4
ANYA_WAYNWOOD,LYSA,3,4
ARYA,CATELYN,3,4
ARYA,HOT_PIE,3,4
ARYA,JOFFREY,3,4
ARYA,NED,3,4
ARYA,PODRICK,3,4
ARYA,SANSA,3,4
BAELOR,TYWIN,3,4
BALON_DWARF,RENLY_DWARF,3,4
BOLTON_GUARD,FIRST_MATE,3,4
BRAN,CRASTERS_BABY,3,4
BRAN,NED,3,4
BRAN,RAMSAY,3,4
BRIENNE,SELWYN,3,4
BRONN,ELLARIA,3,4
BRONN,LOLLYS,3,4
BRONN,MOUNTAIN,3,4
BRONN,SHAE,3,4
CATELYN,HOSTER,3,4
CATELYN,JAIME,3,4
CATELYN,TYRION,3,4
CERSEI,NED,3,4
CERSEI,OLENNA,3,4
CERSEI,PODRICK,3,4
CERSEI,ROBERT,3,4
COOPER,DONNEL_HILL,3,4
CRASTER,JOJEN,3,4
CRASTER,MEERA,3,4
CRASTER,SAM,3,4
CRASTERS_BABY,MEERA,3,4
DAENERYS,MANSERVANT,3,4
DONNEL_WAYNWOOD,HOUND,3,4
DORAN,TYRION,3,4
EDDISON_TOLLETT,OLLY,3,4
ELLARIA,JOFFREY,3,4
ELLARIA,LORAS,3,4
GILLY,TORMUND,3,4
GUYMON,OLLYS_MOTHER,3,4
HODOR,LEAF,3,4
HODOR,RAST,3,4
HOSTER,LYSA,3,4
HOUND,INNKEEPER,3,4
HOUND,SYRIO_FOREL,3,4
INNKEEPER,POLLIVER,3,4
JAIME,MERYN_TRANT,3,4
JAIME,OLENNA,3,4
JAIME,STANNIS,3,4
JOFFREY,LORAS,3,4
JOFFREY,MOUNTAIN,3,4
JOFFREY,RENLY,3,4
JOFFREY,ROBB_DWARF,3,4
JOFFREY,STANNIS,3,4
JOFFREY_DWARF,SANSA,3,4
JOFFREY_DWARF,STANNIS_DWARF,3,4
JOJEN,LEAF,3,4
JOJEN,THREE_EYED_RAVEN,3,4
JON,OTHELL_YARWYCK,3,4
LITTLEFINGER,TYRION,3,4
LORAS,TYRION,3,4
MACE,OLENNA,3,4
MAG_THE_MIGHTY,MANCE,3,4
MAG_THE_MIGHTY,SAM,3,4
MEEREEN_SLAVE,MOSSADOR,3,4
MOLES_TOWN_MADAM,MOLES_TOWN_WHORE,3,4
NED,TYRION,3,4
OLENNA,SANSA,3,4
OLENNA,TOMMEN,3,4
OLLY,PYP,3,4
OLLY,TORMUND,3,4
PODRICK,TYWIN,3,4
PODRICK,VARYS,3,4
PYCELLE,SANSA,3,4
PYP,TORMUND,3,4
ROBB,SANSA,3,4
ROBERT,TYWIN,3,4
STANNIS,TOMMEN,3,4
THENN_WARG,TORMUND,3,4
THENN_WARG,YGRITTE,3,4
VANCE_CORBRAY,YOHN_ROYCE,3,4
ADRACK_HUMBLE,RALF,2,4
AERYS,CERSEI,2,4
ALLISER_THORNE,CRASTER,2,4
ALLISER_THORNE,YGRITTE,2,4
ANYA_WAYNWOOD,ROBIN,2,4
ANYA_WAYNWOOD,VANCE_CORBRAY,2,4
ARYA,DONNEL_WAYNWOOD,2,4
ARYA,INNKEEPER,2,4
ARYA,INNKEEPERS_DAUGHTER,2,4
ARYA,JAIME,2,4
ARYA,JAQEN,2,4
ARYA,LOMMY,2,4
ARYA,LYSA,2,4
ARYA,MERYN_TRANT,2,4
ARYA,SYRIO_FOREL,2,4
ARYA,TOMMY,2,4
AXELL_FLORENT,DAVOS,2,4
AXELL_FLORENT,STANNIS,2,4
BAELOR,HIGH_SEPTON,2,4
BAELOR,JOFFREY,2,4
BAELOR,TYRION,2,4
BALON,ROOSE_BOLTON,2,4
BALON_DWARF,JOFFREY,2,4
BARRISTAN,CERSEI,2,4
BARRISTAN,GOATHERD,2,4
BARRISTAN,JOFFREY,2,4
BARRISTAN,VARYS,2,4
BITER,HOUND,2,4
BITER,RORGE,2,4
BOROS,JAIME,2,4
BRAN,RICKON,2,4
BRAN,SAM,2,4
BRIENNE,BRONN,2,4
BRIENNE,LORAS,2,4
BRIENNE,NED,2,4
BRONN,CERSEI,2,4
BRONN,FALYSE,2,4
BRONN,MORGANS_FRIEND,2,4
BRONN,TYWIN,2,4
BRONN,VARYS,2,4
CATELYN,JOFFREY,2,4
CATELYN,JON_ARRYN,2,4
CERSEI,ELIA,2,4
CERSEI,FOOL,2,4
CERSEI,JOANNA,2,4
CERSEI,JOFFREY_DWARF,2,4
CERSEI,MERYN_TRANT,2,4
CERSEI,ROBB_DWARF,2,4
CRASTER,CRASTERS_BABY,2,4
CRASTER,HODOR,2,4
CRASTER,MANCE,2,4
CRASTERS_BABY,HODOR,2,4
CRASTERS_BABY,JOJEN,2,4
CRASTERS_BABY,KARL_TANNER,2,4
CRASTERS_BABY,NIGHT_KING,2,4
CRASTERS_BABY,WHITE_WALKER,2,4
DAENERYS,DROGO,2,4
DAENERYS,MASTER_MIGHDAL,2,4
DAENERYS,RHAEGAR,2,4
DAENERYS,VARYS,2,4
DAENERYS,VISERYS,2,4
DAVOS,EDDISON_TOLLETT,2,4
DAVOS,GRENN,2,4
DAVOS,MAESTER_AEMON,2,4
DAVOS,SAM,2,4
DONGO_THE_GIANT,JON,2,4
