Source,Target,Weight,Season
CERSEI,TYRION,177,2
DAENERYS,JORAH,119,2
ARYA,JAQEN,113,2
DAVOS,STANNIS,111,2
JON,YGRITTE,110,2
ROBB,TALISA,108,2
ARYA,TYWIN,103,2
TYRION,VARYS,103,2
SHAE,TYRION,95,2
BRONN,TYRION,87,2
THEON,YARA,87,2
CATELYN,ROBB,82,2
DAENERYS,XARO,80,2
JOFFREY,TYRION,79,2
ARYA,GENDRY,78,2
CERSEI,SANSA,73,2
JON,QHORIN,71,2
SANSA,SHAE,60,2
BALON,THEON,59,2
DAENERYS,SPICE_KING,58,2
DAVOS,MATTHOS,57,2
MELISANDRE,STANNIS,57,2
BRAN,OSHA,56,2
JOFFREY,SANSA,56,2
BRIENNE,CATELYN,54,2
CERSEI,JOFFREY,50,2
BRIENNE,JAIME,49,2
PYCELLE,TYRION,49,2
DAGMER,THEON,48,2
HOUND,JOFFREY,48,2
MAESTER_LUWIN,THEON,48,2
BRAN,THEON,47,2
ALTON,JAIME,46,2
ARYA,HOT_PIE,43,2
DAVOS,MELISANDRE,40,2
HOUND,SANSA,40,2
RENLY,STANNIS,40,2
JANOS,TYRION,39,2
JON,SAM,39,2
LORAS,TYRION,38,2
JEOR,JON,37,2
LANCEL,TYRION,37,2
PODRICK,TYRION,37,2
OSHA,THEON,36,2
MARGAERY,RENLY,35,2
EDDISON_TOLLETT,SAM,34,2
GRENN,SAM,34,2
ROBB,ROOSE_BOLTON,34,2
LITTLEFINGER,TYRION,33,2
BRAN,RICKON,32,2
BRIENNE,RENLY,31,2
DAENERYS,KOVARRO,31,2
JAIME,ROBB,31,2
CATELYN,RENLY,30,2
BRAN,MAESTER_LUWIN,29,2
CRASTER,JEOR,29,2
HOUND,TYRION,29,2
BRAN,HODOR,28,2
GENDRY,HOT_PIE,28,2
LITTLEFINGER,MARGAERY,28,2
LITTLEFINGER,TYWIN,28,2
QHORIN,YGRITTE,28,2
CERSEI,LITTLEFINGER,27,2
DAVOS,SALLADHOR,27,2
EDDISON_TOLLETT,GRENN,27,2
CATELYN,JAIME,25,2
CERSEI,TOMMEN,25,2
SANSA,TYRION,25,2
CATELYN,LITTLEFINGER,24,2
CERSEI,LANCEL,24,2
GILLY,SAM,24,2
LORAS,RENLY,24,2
DAENERYS,PYATT_PREE,23,2
LORAS,MARGAERY,23,2
RODRIK,THEON,23,2
ALTON,ROBB,22,2
HODOR,OSHA,22,2
ROS,VARYS,22,2
BLACK_LORREN,THEON,21,2
CERSEI,SHAE,21,2
MATTHOS,STANNIS,21,2
ROBB,THEON,21,2
ARYA,YOREN,20,2
DAENERYS,DOREAH,20,2
LITTLEFINGER,RENLY,20,2
SPICE_KING,XARO,20,2
STANNIS,TYRION,20,2
BRAN,RODRIK,18,2
JORAH,QUAITHE,18,2
CAPTAINS_DAUGHTER,THEON,17,2
CATELYN,RICKARD_KARSTARK,17,2
CERSEI,PYCELLE,17,2
CRASTER,JON,17,2
DAISY,ROS,17,2
AMORY,ARYA,16,2
ARYA,RORGE,16,2
CRESSEN,DAVOS,16,2
HODOR,RICKON,16,2
LORD_OF_BONES,YGRITTE,16,2
BALON,YARA,15,2
CERSEI,TYWIN,15,2
DAENERYS,IRRI,15,2
JORAH,KOVARRO,15,2
LITTLEFINGER,LORAS,15,2
OSHA,RICKON,15,2
AMORY,TYWIN,14,2
MAESTER_LUWIN,OSHA,14,2
MATTHOS,SALLADHOR,14,2
BRONN,HOUND,13,2
CATELYN,STANNIS,13,2
CERSEI,JAIME,13,2
