Source,Target,Weight,Season
DAENERYS,JON,194,8
DAENERYS,TYRION,122,8
JAIME,TYRION,122,8
BRIENNE,JAIME,121,8
JON,TYRION,116,8
TYRION,VARYS,114,8
SANSA,TYRION,86,8
DAVOS,TYRION,72,8
DAENERYS,SANSA,71,8
ARYA,GENDRY,70,8
ARYA,JON,70,8
JON,SANSA,70,8
JON,SAM,66,8
ARYA,HOUND,63,8
BRAN,TYRION,55,8
ARYA,SANSA,52,8
DAENERYS,JORAH,51,8
GREY_WORM,JON,50,8
JON,TORMUND,50,8
JON,VARYS,49,8
DAVOS,JON,47,8
BRIENNE,TYRION,46,8
DAENERYS,VARYS,44,8
CERSEI,QYBURN,41,8
BRIENNE,TORMUND,40,8
BRONN,TYRION,40,8
CERSEI,EURON,40,8
GREY_WORM,TYRION,40,8
JAIME,TORMUND,38,8
DAENERYS,GREY_WORM,37,8
CERSEI,DAENERYS,36,8
BERIC,HOUND,34,8
BRIENNE,PODRICK,31,8
CERSEI,JAIME,31,8
BRAN,JON,30,8
SAM,TORMUND,30,8
BRAN,SANSA,28,8
JAIME,PODRICK,28,8
BRAN,THEON,27,8
DAVOS,GREY_WORM,27,8
GREY_WORM,MISSANDEI,27,8
HOUND,MOUNTAIN,27,8
CERSEI,TYRION,26,8
DAENERYS,SAM,26,8
GENDRY,HOUND,26,8
JORAH,SAM,26,8
BERIC,TORMUND,24,8
BRAN,JAIME,24,8
BRIENNE,SANSA,24,8
CERSEI,MOUNTAIN,24,8
SAM,TYRION,24,8
BRAN,SAM,23,8
BRIENNE,SAM,23,8
BRIENNE,GREY_WORM,23,8
DAENERYS,JAIME,23,8
DAENERYS,MISSANDEI,23,8
GREY_WORM,SAM,23,8
GREY_WORM,TORMUND,23,8
ARYA,DAVOS,22,8
ARYA,NORA,22,8
HOUND,TORMUND,22,8
NORA,VICKY,22,8
SANSA,VARYS,22,8
ARYA,DAENERYS,21,8
ARYA,BRAN,21,8
DAENERYS,GENDRY,21,8
MISSANDEI,TYRION,21,8
BRONN,QYBURN,20,8
PODRICK,TORMUND,20,8
DAVOS,TORMUND,19,8
GENDRY,TORMUND,19,8
GREY_WORM,JAIME,19,8
JAIME,SAM,19,8
JON,NIGHT_KING,19,8
QYBURN,TYRION,19,8
TORMUND,TYRION,19,8
ARYA,BERIC,18,8
BRIENNE,DAVOS,18,8
GREY_WORM,VARYS,18,8
GREY_WORM,SANSA,18,8
JORAH,TORMUND,18,8
PODRICK,TYRION,18,8
DAENERYS,DAVOS,17,8
DAVOS,SANSA,17,8
EURON,JAIME,17,8
GENDRY,SAM,17,8
JORAH,LYANNA_MORMONT,17,8
BRAN,DAENERYS,16,8
DAENERYS,TORMUND,16,8
GENDRY,GREY_WORM,16,8
BERIC,SAM,15,8
BRAN,GREY_WORM,15,8
BRAN,NIGHT_KING,15,8
EDDISON_TOLLETT,SAM,16,8
MISSANDEI,VARYS,15,8
ARYA,VICKY,14,8
DAVOS,SAM,14,8
DAVOS,VARYS,14,8
HOUND,SANSA,14,8
JAIME,SANSA,14,8
JAIME,JORAH,14,8
MISSANDEI,SANSA,14,8
SANSA,YOHN_ROYCE,14,8
ARYA,MELISANDRE,13,8
ARYA,GREY_WORM,13,8
BERIC,JORAH,13,8
BRIENNE,GENDRY,13,8
BRIENNE,JORAH,13,8
BRONN,JAIME,13,8
EDDISON_TOLLETT,TORMUND,13,8
GENDRY,JAIME,13,8
LYANNA_MORMONT,SAM,13,8
BERIC,GREY_WORM,12,8
CRAYAH,DIRAH,12,8
MOUNTAIN,QYBURN,12,8
SAM,SANSA,12,8
SANSA,WOLKAN,12,8
ARYA,TYRION,11,8
BRAN,BRIENNE,11,8
BRIENNE,DAENERYS,11,8
BRIENNE,JON,11,8
CERSEI,HARRY,11,8
DAENERYS,THEON,11,8
GILLY,SAM,11,8
GREY_WORM,JORAH,11,8
JAIME,JON,11,8
JON,MISSANDEI,11,8
JON,LYANNA_MORMONT,11,8
JON,JORAH,11,8
JORAH,MELISANDRE,11,8
MARTHA,VARYS,11,8
SANSA,THEON,11,8
ARYA,SAM,10,8
BERIC,BRIENNE,10,8
BRONN,DAVOS,10,8
DAENERYS,EURON,10,8
DAENERYS,NIGHT_KING,10,8
